Country;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source;;
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;5;431753354;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;5;70640417;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;0;992597686;CTS
Russian Federation;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;0;446049445;CTS
Russian Federation;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Rate per 100;000 population;0;353122478;CTS
Russian Federation;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;7;858179735;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;1;53564205;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;1;747803123;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;9;37051406;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;4;748366865;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;0;500093957;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;3;788590584;CTS
Romania;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;15;63930193;CTS
Romania;Eastern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;Total;2016;Rate per 100;000 population;0;127972909;CTS
Romania;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;Total;2016;Rate per 100;000 population;2;598834462;CTS
Romania;Eastern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Male;Total;2016;Rate per 100;000 population;0;31127177;CTS
Romania;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Male;Total;2016;Rate per 100;000 population;0;342398951;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;7;402829258;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;26;61083474;CTS
Republic of Moldova;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;0;737823514;CTS
Republic of Moldova;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Rate per 100;000 population;0;737823514;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;6;148529284;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;15;7894232;CTS
Republic of Moldova;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;8;386593944;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;5;45740949;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;2;866678159;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;23;95032124;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;3;244382376;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;20;70593887;CTS
Portugal;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;128;9327241;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;20;6095519;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;8;30498801;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;2;82169736;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;1;350383153;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;4;872435121;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;8;8387264;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress;Total;Total;2016;Rate per 100;000 population;66;293799;CTS
Poland;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;5;256754693;CTS
Poland;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;25;3598271;CTS
Poland;Eastern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;2;825324492;CTS
Poland;Eastern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;7;556338018;CTS
Poland;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;14;79080362;CTS
Poland;Eastern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;1;53417784;CTS
Poland;Eastern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;33;96457856;CTS
Poland;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;1;981945831;CTS
Norway;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;41;87813634;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;105;8856017;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;42;56372656;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;55;70420591;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;7;617669184;CTS
Norway;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;15;4257801;CTS
Norway;Northern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;10;87422276;CTS
Norway;Northern Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress;Total;Total;2016;Rate per 100;000 population;88;72680182;CTS
Norway;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;7;846199259;CTS
Norway;Northern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;7;256136234;CTS
Norway;Northern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;14;35870345;CTS
Norway;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;29;44685974;CTS
Norway;Northern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;2;153984986;CTS
Norway;Northern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;69;309796;CTS
Norway;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;150;6655814;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;8;314325727;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;480596863;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;5;478804237;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;1;730148706;CTS
North Macedonia;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;11;9188022;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;29;561956;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;2;47331106;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;27;88363778;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;9;3936304;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;13;4377142;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;5;800503319;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;2;679420315;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;52;88174599;CTS
Netherlands;Western Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress;Total;Total;2016;Rate per 100;000 population;17;16595652;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;20;40585329;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;318841458;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;3;507256034;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;0;318841458;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;2;550731661;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;0;637682915;CTS
Montenegro;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;20;40585329;CTS
Monaco;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;2;626740215;CTS
Monaco;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;13;13370108;CTS
Monaco;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;13;13370108;CTS
Monaco;Western Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;0;CTS;
Monaco;Western Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;0;CTS;
Malta;Southern Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress;Total;Total;2016;Rate per 100;000 population;71;54338808;CTS
Malta;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;0;687917193;CTS
Malta;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;45;86114621;CTS
Malta;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;CTS;
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;20;17890433;CTS
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;6;191254738;CTS
Malta;Southern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;13;98764959;CTS
Malta;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;59;39018434;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;98;2277572;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;8;63161311;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;72;33291787;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;18;29901979;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;54;3389807;CTS
Luxembourg;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;79;23820835;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;7;475199468;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;3;806814544;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;0;CTS;
Lithuania;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;CTS;
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;7;198340229;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;3;391525685;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;9;37860674;CTS
Lithuania;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;4;706607073;CTS
Lithuania;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;46;44313744;CTS
Lithuania;Northern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;7;190521865;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;Total;2016;Rate per 100;000 population;0;706211969;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;Total;2016;Rate per 100;000 population;0;449407617;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;Total;2016;Rate per 100;000 population;0;192603264;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;0;256804352;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;Total;2016;Rate per 100;000 population;1;797630466;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;Total;2016;Rate per 100;000 population;4;108869637;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;Total;2016;Rate per 100;000 population;1;605027202;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;0;513608705;CTS
Lithuania;Northern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;0;450467698;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Male;Total;2016;Rate per 100;000 population;1;801870792;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Male;Total;2016;Rate per 100;000 population;2;102182591;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Male;Total;2016;Rate per 100;000 population;2;102182591;CTS
Lithuania;Northern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;0;375389748;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Male;Total;2016;Rate per 100;000 population;0;225233849;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Male;Total;2016;Rate per 100;000 population;0;300311799;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Male;Total;2016;Rate per 100;000 population;0;150155899;CTS
Lithuania;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;0;375389748;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;188;5539769;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;CTS;
Liechtenstein;Western Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;23;90120834;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;5;311379631;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;18;58982871;CTS
Liechtenstein;Western Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;10;62275926;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;33;27820733;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;405214092;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;11;14338754;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;7;192550139;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;4;204096208;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;16;86703659;CTS
Latvia;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;32;97429676;CTS
Latvia;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;15;8033496;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;Total;2016;Rate per 100;000 population;2;246200412;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;Total;2016;Rate per 100;000 population;1;21669189;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;Total;2016;Rate per 100;000 population;1;310283573;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;1;310283573;CTS
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;Total;2016;Rate per 100;000 population;0;467958419;CTS
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;Total;2016;Rate per 100;000 population;1;871833676;CTS
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;Total;2016;Rate per 100;000 population;2;901342198;CTS
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;1;29508522;CTS
Latvia;Northern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;2;901342198;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Male;Total;2016;Rate per 100;000 population;0;772802646;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Male;Total;2016;Rate per 100;000 population;8;721629863;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Male;Total;2016;Rate per 100;000 population;11;48163931;CTS
Latvia;Northern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;4;526415498;CTS
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Male;Total;2016;Rate per 100;000 population;0;CTS;
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Male;Total;2016;Rate per 100;000 population;0;662402268;CTS
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Male;Total;2016;Rate per 100;000 population;0;110400378;CTS
Latvia;Northern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;0;110400378;CTS
Latvia;Northern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;0;110400378;CTS
Italy;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;105;7200074;CTS
Italy;Southern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;324744538;CTS
Italy;Southern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;7;439452288;CTS
Italy;Southern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;3;826051132;CTS
Italy;Southern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;55;9447692;CTS
Italy;Southern Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress;Total;Total;2016;Rate per 100;000 population;47;4703983;CTS
Italy;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;0;845654559;CTS
Italy;Southern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;4;236254436;CTS
Italy;Southern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;73;30771008;CTS
Italy;Southern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;11;36610778;CTS
Italy;Southern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;1;211966694;CTS
Italy;Southern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;121;8518783;CTS
Italy;Southern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;1;697432345;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;77;47365193;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;1;575879671;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;54;19748328;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;14;82178718;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;32;64626399;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;6;729432108;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;41;63303725;CTS
Ireland;Northern Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress;Total;Total;2016;Rate per 100;000 population;29;6859123;CTS
Ireland;Northern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;6;90561971;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;22;27513403;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;149;9056317;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;55;68783507;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence: Sexual assault;Total;Total;2016;Rate per 100;000 population;13;54568961;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;80;67210702;CTS
Iceland;Northern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;15;5076623;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual Exploitation;Total;Total;2016;Rate per 100;000 population;5;362469074;CTS
Hungary;Eastern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Rate per 100;000 population;2;768387476;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Kidnapping;Total;Total;2016;Rate per 100;000 population;0;51266435;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual violence;Total;Total;2016;Rate per 100;000 population;6;151972168;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual violence: Rape;Total;Total;2016;Rate per 100;000 population;6;131465595;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Sexual violence: Other acts of sexual violence;Total;Total;2016;Rate per 100;000 population;0;20506574;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress;Total;Total;2016;Rate per 100;000 population;69;3538102;CTS
Hungary;Eastern Europe;Violent offences;by type of offence;Robbery;Total;Total;2016;Rate per 100;000 population;11;31962879;CTS
Hungary;Eastern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;6;684132709;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;Total;2016;Rate per 100;000 population;3;713407061;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;Total;2016;Rate per 100;000 population;4;104292015;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;Total;2016;Rate per 100;000 population;1;77852654;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;Total;2016;Rate per 100;000 population;0;97721238;CTS
Hungary;Eastern Europe;Victims of sexual exploitation;Total;Total;Total;Total;2016;Rate per 100;000 population;0;560782939;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Male;Total;2016;Rate per 100;000 population;0;603920088;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Male;Total;2016;Rate per 100;000 population;1;445094497;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Male;Total;2016;Rate per 100;000 population;0;150980022;CTS
Hungary;Eastern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;Total;2016;Rate per 100;000 population;0;21568575;CTS
Greece;Southern Europe;Violent offences;by type of offence;Acts intended to induce fear or emotional distress: Cyber-related;Total;Total;2016;Rate per 100;000 population;0;CTS;
Greece;Southern Europe;Violent offences;by type of offence;Serious assault;Total;Total;2016;Rate per 100;000 population;14;2720102;CTS
